i,year,hs2,v,total_v,export_share
4,2016,01,207.374,1020541.8320246168,0.0002031999017508161
4,2016,02,44.010580206769404,1020541.8320246168,4.312471946344264e-05
4,2016,03,25.381276844381592,1020541.8320246168,2.48703934007571e-05
4,2016,04,61.35753008765199,1020541.8320246168,6.0122503715430225e-05
4,2016,05,2241.569879296935,1020541.8320246168,0.002196450756800399
4,2016,06,19.29,1020541.8320246168,1.890172396140906e-05
4,2016,07,68884.23939733709,1020541.8320246168,0.067497712720585
4,2016,08,321581.6927444988,1020541.8320246168,0.3151087810937884
4,2016,09,30944.444609241666,1020541.8320246168,0.03032158372954892
4,2016,10,63.7416690902029,1020541.8320246168,6.24586539130376e-05
4,2016,11,57.6453993623191,1020541.8320246168,5.648509208873725e-05
4,2016,12,32160.060011642643,1020541.8320246168,0.03151273078913526
4,2016,13,70869.239,1020541.8320246168,0.06944275753930149
4,2016,14,629.1874578971642,1020541.8320246168,0.0006165229470789468
4,2016,16,1.614,1020541.8320246168,1.5815128291194518e-06
4,2016,17,106.86982058852325,1020541.8320246168,0.00010471870650956855
4,2016,19,249.71777153692253,1020541.8320246168,0.00024469136266713954
4,2016,20,728.4799379394536,1020541.8320246168,0.0007138168324705006
4,2016,21,84.97164495981247,1020541.8320246168,8.326130521395701e-05
4,2016,22,42.031000000000006,1020541.8320246168,4.11849849570754e-05
4,2016,23,104.86050832069834,1020541.8320246168,0.00010274983839973449
4,2016,24,439.06304067974895,1020541.8320246168,0.00043022542232169683
4,2016,25,29572.12843594892,1020541.8320246168,0.028976890028389938
4,2016,26,45.50855235398108,1020541.8320246168,4.4592539890009485e-05
4,2016,27,56202.64884060668,1020541.8320246168,0.055071381766985714
4,2016,28,18.4930375301415,1020541.8320246168,1.8120803037984067e-05
4,2016,29,1883.648936599497,1020541.8320246168,0.0018457341752102336
4,2016,30,218.966,1020541.8320246168,0.00021455857381720564
4,2016,32,50.2901927337184,1020541.8320246168,4.927793369719051e-05
4,2016,33,728.5673617802358,1020541.8320246168,0.00071390249661286
4,2016,34,79.63327128566978,1020541.8320246168,7.803038423979951e-05
4,2016,37,1.121,1020541.8320246168,1.0984361099398423e-06
4,2016,38,116.64312313584462,1020541.8320246168,0.0001142952885179047
4,2016,39,2004.2337731833761,1020541.8320246168,0.001963891836954148
4,2016,40,40.24647641122601,1020541.8320246168,3.9436380899137135e-05
4,2016,41,9501.094643588598,1020541.8320246168,0.009309853202920368
4,2016,42,234.26471160011187,1020541.8320246168,0.00022954934746316318
4,2016,43,4234.38540035327,1020541.8320246168,0.004149154172301612
4,2016,44,1702.874770234869,1020541.8320246168,0.001668598696103026
4,2016,46,3.179,1020541.8320246168,3.115011947813344e-06
